,CommID,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
639,Ugz790a3VCYN8ughbXV4AaABAg,Brittany Martini,https://yt3.ggpht.com/a/AGF-l79qvelBmG1INsmCom52svJDOYmsbxJYlRZLkw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCv5y72EJC_FUhfjlyREEYbg,{'value': 'UCv5y72EJC_FUhfjlyREEYbg'},iI48g7YTZFA,What happens when their channel burns out?,What happens when their channel burns out?,True,none,2,2020-01-08T23:08:25.000Z,2020-01-08T23:08:25.000Z,0
640,Ugxqyu2xDW7UwMX4ZXR4AaABAg,Nicholas Miller,https://yt3.ggpht.com/a/AGF-l79_OVD_EJIpr2JBW-y8Xo1Ljz2EVgsEMLMKkg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCf_k9-JBihatIbXNarL0HPg,{'value': 'UCf_k9-JBihatIbXNarL0HPg'},iI48g7YTZFA,"The house they had been living in looks nicer than the new house.

The new house looks like an office building or something. The spaces are so big and empty.","The house they had been living in looks nicer than the new house.

The new house looks like an office building or something. The spaces are so big and empty.",True,none,1144,2019-08-21T19:20:09.000Z,2019-08-21T19:20:09.000Z,0
641,Ugxqyu2xDW7UwMX4ZXR4AaABAg.8yuW0KoL8yQ8yugDHbJWVA,Huzzz,https://yt3.ggpht.com/a/AGF-l7-Q0nT-7-HCqoe5Pem59AR5ZsPKv4-5Yo3pQQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCOL_g_VKl0Q0VdC8a2ZVN7w,{'value': 'UCOL_g_VKl0Q0VdC8a2ZVN7w'},iI48g7YTZFA,looks like kanyes house,looks like kanyes house,True,none,0,2019-08-21T20:58:02.000Z,2019-08-21T20:58:02.000Z,Ugxqyu2xDW7UwMX4ZXR4AaABAg
642,Ugxqyu2xDW7UwMX4ZXR4AaABAg.8yuW0KoL8yQ8yug6B7L3AZ,Lisbeth,https://yt3.ggpht.com/a/AGF-l7_v82UrePwhYq-JVZZCjyAPHEgW_VrWPCitiA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC10s67XZx_whcR6gV18gF0Q,{'value': 'UC10s67XZx_whcR6gV18gF0Q'},iI48g7YTZFA,It does seem like a gallery or a museum of sort. The pool's nice though!,It does seem like a gallery or a museum of sort. The pool's nice though!,True,none,0,2019-08-21T20:57:04.000Z,2019-08-21T20:57:04.000Z,Ugxqyu2xDW7UwMX4ZXR4AaABAg
643,Ugxqyu2xDW7UwMX4ZXR4AaABAg.8yuW0KoL8yQ8yufLKKvo5a,Donny Allaway,https://yt3.ggpht.com/a/AGF-l79Rw82yDFlGAH03ybgUThXlLpolAsYsptIyMw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCWpNeMJ0erQwYJYJQnlgFnw,{'value': 'UCWpNeMJ0erQwYJYJQnlgFnw'},iI48g7YTZFA,"The richer you get, the more room you need for your inflated ego","The richer you get, the more room you need for your inflated ego",True,none,3,2019-08-21T20:50:23.000Z,2019-08-21T20:50:23.000Z,Ugxqyu2xDW7UwMX4ZXR4AaABAg
644,Ugxqyu2xDW7UwMX4ZXR4AaABAg.8yuW0KoL8yQ8yuef1Tu5Vz,Im Officially A Greg Forever,https://yt3.ggpht.com/a/AGF-l7-VoJsym1ufdbwfQ_eqZNqWkrTymIGdHU2AOA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCiJ57OGmpPXiVoznWZ3ZDQw,{'value': 'UCiJ57OGmpPXiVoznWZ3ZDQw'},iI48g7YTZFA,But i DO love the pool tho lol,But i DO love the pool tho lol,True,none,5,2019-08-21T20:44:29.000Z,2019-08-21T20:44:29.000Z,Ugxqyu2xDW7UwMX4ZXR4AaABAg
645,Ugzjj4BS56RweSDCHAF4AaABAg,Bolu Ayeni,https://yt3.ggpht.com/a/AGF-l7-kDoR40lcHehi-fjbYl829z1-6stLnokA71g=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC7YU_IC0jK4PM2Xw0bJ_vTA,{'value': 'UC7YU_IC0jK4PM2Xw0bJ_vTA'},iI48g7YTZFA,11:46 😂 I love that comment,11:46 😂 I love that comment,True,none,0,2020-01-11T19:02:53.000Z,2020-01-11T19:02:53.000Z,0
646,UgzwFwSttKUPlHY3rOt4AaABAg,Julian L.,https://yt3.ggpht.com/a/AGF-l79MoRLz_vq5SHNY4OOJvXDWlesM8ypMAL68Yg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC9uZXSFD7VYW0l3mqYFTbeA,{'value': 'UC9uZXSFD7VYW0l3mqYFTbeA'},iI48g7YTZFA,Why do children like their content though?,Why do children like their content though?,True,none,3,2019-12-13T19:14:48.000Z,2019-12-13T19:14:48.000Z,0
647,UgzvAp-aBGYK1KSyzap4AaABAg,Emilia Modrusan,https://yt3.ggpht.com/a/AGF-l79z1urpLRubmxK0bDZJL_8jlkZeH_b1SKoJDQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCWF9HmXik0RpZ21TIr6Uuqw,{'value': 'UCWF9HmXik0RpZ21TIr6Uuqw'},iI48g7YTZFA,I have the same shirt as you 😂,I have the same shirt as you 😂,True,none,0,2020-01-18T16:36:59.000Z,2020-01-18T16:36:59.000Z,0
648,UgxuIOKKqj5vY428RRl4AaABAg,SKippySounds,https://yt3.ggpht.com/a/AGF-l78iYQ0LVnlpJzsX6jYuAToBYlNKCPTDK3HSiA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCb3RJxdDxywTVykzGXbpyuQ,{'value': 'UCb3RJxdDxywTVykzGXbpyuQ'},iI48g7YTZFA,"""I am not having a shirt on"" I CAN'T","""I am not having a shirt on"" I CAN'T",True,none,0,2019-12-15T23:03:49.000Z,2019-12-15T23:03:49.000Z,0
