,CommID,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
182,UgxMVugo2k7TOQBM0oR4AaABAg,RoseGolden,https://yt3.ggpht.com/a/AGF-l7_27KEVM5akB-UYGy_7oipuE7QPqxRW4CvzMw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCE1llK2VLXZqRveijYZ-QYg,{'value': 'UCE1llK2VLXZqRveijYZ-QYg'},ZcCp6ghTP78,I just wanna know if you mean Charlotte Cho....or another Charlotte. If Charlotte Cho.....say less Im there!,I just wanna know if you mean Charlotte Cho....or another Charlotte. If Charlotte Cho.....say less Im there!,True,none,0,2019-12-23T15:57:32.000Z,2019-12-23T15:57:32.000Z,0
183,UgzltkHWyiupEhdVv8J4AaABAg,Pink Bubbles,https://yt3.ggpht.com/a/AGF-l7_ZPHEKlUlM1-R_Q8bwTEKyQh0xt_y_CxVv9A=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCpgSFfmw3-y60mTHKj7Vxqg,{'value': 'UCpgSFfmw3-y60mTHKj7Vxqg'},ZcCp6ghTP78,What happened your teeth???,What happened your teeth???,True,none,0,2019-12-24T07:17:31.000Z,2019-12-24T07:17:31.000Z,0
184,Ugy5TLaajOngCYxjx9V4AaABAg,Kacy Mah,https://yt3.ggpht.com/a/AGF-l7_t_gbYQCrDWm6KQEwazAMiUL8DX1zIX6GqMQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCFd6wyGqDH--d6p4Pi74Xgw,{'value': 'UCFd6wyGqDH--d6p4Pi74Xgw'},ZcCp6ghTP78,I'm a sucker for packing videos ngl...,I'm a sucker for packing videos ngl...,True,none,0,2019-12-24T21:33:40.000Z,2019-12-24T21:33:40.000Z,0
185,UgxXIsD9l0jGZKzz8UB4AaABAg,Kas Kahea,https://yt3.ggpht.com/a/AGF-l7_qJSJjHfkKgtl2j4t9wN0uBt2JZs6dODK9yA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCRm6sJhWDX5u7mPAl0a5WgQ,{'value': 'UCRm6sJhWDX5u7mPAl0a5WgQ'},ZcCp6ghTP78,Mele Kalikimaka Jen & Ben🌺🎄,Mele Kalikimaka Jen & Ben🌺🎄,True,none,0,2019-12-26T01:53:23.000Z,2019-12-26T01:53:23.000Z,0
186,UgyqXx5aLpBOmpYUcvd4AaABAg,CadyHorseLover,https://yt3.ggpht.com/a/AGF-l7-0-uHY8iaEe6YuZuKPpXvhKP2ZLefQa-OHtg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCuA5TjKGyUrBvfjBBNA7qSg,{'value': 'UCuA5TjKGyUrBvfjBBNA7qSg'},ZcCp6ghTP78,Oh I needed this! I'm going to Mexico in a few days and had nooo idea how to pack ❤️,Oh I needed this! I'm going to Mexico in a few days and had nooo idea how to pack ❤️,True,none,0,2019-12-22T17:04:59.000Z,2019-12-22T17:04:59.000Z,0
187,UgyebfdZgsuRApfFYPx4AaABAg,Haseena,https://yt3.ggpht.com/a/AGF-l7-wvzts1wIDReO-7IPyrT8w7K3yiV_dUIZF3Q=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCjnKBYZ96kBMowayN2Ij6gw,{'value': 'UCjnKBYZ96kBMowayN2Ij6gw'},ZcCp6ghTP78,"Hey Jenn Hope you are feeling better now and had a great time in Paris and now enjoying your time in London (saw it when you posted on  instastories)
Yes London is festive during Xmas, well at least Central London lol 💖👑","Hey Jenn Hope you are feeling better now and had a great time in Paris and now enjoying your time in London (saw it when you posted on  instastories)
Yes London is festive during Xmas, well at least Central London lol 💖👑",True,none,1,2019-12-22T17:27:45.000Z,2019-12-22T17:27:45.000Z,0
188,UgyddL3kArdu1wDtixF4AaABAg,Bj Tantoco,https://yt3.ggpht.com/a/AGF-l78jyu-pPIhpVxZoHq9e3cVuEFsysjnVBHnmAw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC5ZK0Ebi_3C49MFwTCx5Y8g,{'value': 'UC5ZK0Ebi_3C49MFwTCx5Y8g'},ZcCp6ghTP78,Goodluck for public transport. Bring extra 1000€ for Uber,Goodluck for public transport. Bring extra 1000€ for Uber,True,none,0,2019-12-22T21:28:30.000Z,2019-12-22T21:28:30.000Z,0
189,UgzEejo5PHpiKiD5IMh4AaABAg,Shadow,https://yt3.ggpht.com/a/AGF-l78z87G9Ix7F-W3pZ1tY71Ro2qibY9C9KPdJ4g=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCAD_8SrUqxSecGpEw8RNP8w,{'value': 'UCAD_8SrUqxSecGpEw8RNP8w'},ZcCp6ghTP78,Your friend hyunne is a bully.,Your friend hyunne is a bully.,True,none,0,2019-12-25T00:40:11.000Z,2019-12-25T00:40:11.000Z,0
190,UgxWEhr93YUopM4J7FB4AaABAg,SouLoveLee,https://yt3.ggpht.com/a/AGF-l78xST4J2BgUTfhET0Nx_8GSIJhmqjBVtktfxQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCEW-NbuXE-Qt4F6jDXfZkUQ,{'value': 'UCEW-NbuXE-Qt4F6jDXfZkUQ'},ZcCp6ghTP78,Your voice sounds like is related to Jaclyn Hills voice 😂,Your voice sounds like is related to Jaclyn Hills voice 😂,True,none,2,2020-01-05T22:10:03.000Z,2020-01-05T22:10:03.000Z,0
191,UgwX80tQpvYo11x9tRN4AaABAg,Blanka Sky,https://yt3.ggpht.com/a/AGF-l79Xu3zOGflpjn_2FYT-rrAaIVFGM58r_HnY1w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC5fN6GMG8Mdt8Iy-JNNaQqw,{'value': 'UC5fN6GMG8Mdt8Iy-JNNaQqw'},ZcCp6ghTP78,you are so beautiful 😘,you are so beautiful 😘,True,none,0,2019-12-29T20:45:26.000Z,2019-12-29T20:45:26.000Z,0
